key,value,location
User_37,20.41,Zone_2
User_38,2.30,Zone_3
User_39,21.18,Zone_4
User_40,23.58,Zone_0
User_41,12.27,Zone_1
User_42,13.84,Zone_2
User_43,13.05,Zone_3
User_44,22.54,Zone_4
User_45,24.72,Zone_0
User_46,17.10,Zone_1
User_47,25.63,Zone_2
User_48,2.25,Zone_3
User_49,11.54,Zone_4
User_50,19.78,Zone_0
User_51,0.04,Zone_1
User_52,25.40,Zone_2
User_53,10.58,Zone_3
User_54,18.37,Zone_4
User_55,18.90,Zone_0
User_56,30.41,Zone_1
User_57,13.82,Zone_2
User_58,4.24,Zone_3
User_59,11.58,Zone_4
User_60,17.65,Zone_0
User_61,26.30,Zone_1
User_62,6.50,Zone_2
User_63,19.91,Zone_3
User_64,21.23,Zone_4
User_65,9.41,Zone_0
User_66,20.89,Zone_1
User_67,16.67,Zone_2
User_68,16.61,Zone_3
User_69,28.62,Zone_4
User_70,21.41,Zone_0
User_71,13.12,Zone_1
User_72,8.16,Zone_2
User_73,13.30,Zone_3
User_74,23.51,Zone_4
User_75,17.46,Zone_0
User_76,9.34,Zone_1
User_77,25.10,Zone_2
User_78,12.89,Zone_3
User_79,16.51,Zone_4
User_80,19.69,Zone_0
User_81,26.53,Zone_1
User_82,6.58,Zone_2
User_83,-9.47,Zone_3
User_84,11.61,Zone_4
User_85,12.47,Zone_0
User_86,28.41,Zone_1
User_87,20.70,Zone_2
User_88,7.23,Zone_3
User_89,18.73,Zone_4
User_90,13.49,Zone_0
User_91,24.25,Zone_1
User_92,1.15,Zone_2
User_93,-3.52,Zone_3
User_94,28.38,Zone_4
User_95,31.46,Zone_0
User_96,11.52,Zone_1
User_97,27.62,Zone_2
User_98,26.97,Zone_3
User_99,13.73,Zone_4
User_0,72.52,Zone_0
User_1,6.06,Zone_1
User_2,16.46,Zone_2
User_3,7.22,Zone_3
User_4,17.20,Zone_4
User_5,22.74,Zone_0
User_6,15.18,Zone_1
User_7,6.69,Zone_2
User_8,-7.25,Zone_3
User_9,19.59,Zone_4
User_10,23.37,Zone_0
User_11,26.32,Zone_1
User_12,14.83,Zone_2
User_13,3.90,Zone_3
User_14,9.88,Zone_4
User_15,24.50,Zone_0
User_16,10.42,Zone_1
User_17,8.50,Zone_2
User_18,6.84,Zone_3
User_19,14.24,Zone_4
User_20,19.44,Zone_0
User_21,6.08,Zone_1
User_22,10.90,Zone_2
User_23,12.91,Zone_3
User_24,11.46,Zone_4
User_25,22.85,Zone_0
User_26,11.00,Zone_1
User_27,18.76,Zone_2
User_28,13.39,Zone_3
User_29,16.14,Zone_4
User_30,6.17,Zone_0
User_31,8.66,Zone_1
User_32,17.84,Zone_2
User_33,34.53,Zone_3
User_34,3.38,Zone_4
User_35,19.72,Zone_0
User_36,9.17,Zone_1
User_37,27.51,Zone_2
User_38,4.00,Zone_3
User_39,19.40,Zone_4
User_40,28.13,Zone_0
User_41,25.32,Zone_1
User_42,6.77,Zone_2
User_43,16.48,Zone_3
User_44,18.62,Zone_4
User_45,18.79,Zone_0
User_46,19.33,Zone_1
User_47,9.63,Zone_2
User_48,-1.59,Zone_3
User_49,23.50,Zone_4
User_50,10.36,Zone_0
User_51,18.00,Zone_1
User_52,21.71,Zone_2
User_53,5.44,Zone_3
User_54,13.76,Zone_4
User_55,11.50,Zone_0
User_56,13.13,Zone_1
User_57,21.44,Zone_2
User_58,22.33,Zone_3
User_59,9.23,Zone_4
User_60,14.49,Zone_0
User_61,25.28,Zone_1
User_62,12.28,Zone_2
User_63,13.78,Zone_3
User_64,23.57,Zone_4
User_65,12.24,Zone_0
User_66,22.06,Zone_1
User_67,1.85,Zone_2
User_68,5.05,Zone_3
User_69,13.91,Zone_4
User_70,16.33,Zone_0
User_71,9.50,Zone_1
User_72,-3.10,Zone_2
User_73,18.48,Zone_3
User_74,8.53,Zone_4
User_75,17.35,Zone_0
User_76,27.59,Zone_1
User_77,17.20,Zone_2
User_78,24.71,Zone_3
User_79,24.64,Zone_4
User_80,9.48,Zone_0
User_81,6.27,Zone_1
User_82,13.45,Zone_2
User_83,19.65,Zone_3
User_84,16.83,Zone_4
User_85,20.00,Zone_0
User_86,16.43,Zone_1
User_87,16.14,Zone_2
User_88,22.64,Zone_3
User_89,0.76,Zone_4
User_90,17.91,Zone_0
User_91,12.73,Zone_1
User_92,9.68,Zone_2
User_93,8.34,Zone_3
User_94,13.92,Zone_4
User_95,18.84,Zone_0
User_96,2.77,Zone_1
User_97,12.97,Zone_2
User_98,24.15,Zone_3
User_99,13.63,Zone_4
User_0,66.88,Zone_0
User_1,2.17,Zone_1
User_2,23.67,Zone_2
User_3,27.22,Zone_3
User_4,16.98,Zone_4
User_5,25.36,Zone_0
User_6,1.17,Zone_1
User_7,16.43,Zone_2
User_8,7.76,Zone_3
User_9,21.40,Zone_4
User_10,6.92,Zone_0
User_11,14.82,Zone_1
User_12,13.30,Zone_2
User_13,8.78,Zone_3
User_14,21.87,Zone_4
User_15,5.20,Zone_0
User_16,23.62,Zone_1
User_17,21.43,Zone_2
User_18,18.51,Zone_3
User_19,34.17,Zone_4
User_20,8.30,Zone_0
User_21,8.24,Zone_1
User_22,16.26,Zone_2
User_23,22.80,Zone_3
User_24,11.78,Zone_4
User_25,13.22,Zone_0
User_26,8.36,Zone_1
User_27,8.49,Zone_2
User_28,3.43,Zone_3
User_29,17.81,Zone_4
User_30,13.00,Zone_0
User_31,14.97,Zone_1
User_32,15.68,Zone_2
User_33,18.45,Zone_3
User_34,17.32,Zone_4
User_35,-3.27,Zone_0
User_36,4.70,Zone_1
User_37,7.14,Zone_2
User_38,8.13,Zone_3
User_39,27.40,Zone_4
User_40,6.15,Zone_0
User_41,-0.54,Zone_1
User_42,16.63,Zone_2
User_43,18.45,Zone_3
User_44,15.60,Zone_4
User_45,9.82,Zone_0
User_46,13.67,Zone_1
User_47,-3.43,Zone_2
User_48,14.68,Zone_3
User_49,11.16,Zone_4
User_50,10.95,Zone_0
User_51,3.00,Zone_1
User_52,15.26,Zone_2
User_53,6.41,Zone_3
User_54,14.06,Zone_4
User_55,20.29,Zone_0
User_56,1.47,Zone_1
User_57,17.07,Zone_2
User_58,26.00,Zone_3
User_59,23.96,Zone_4
User_60,18.40,Zone_0
User_61,20.99,Zone_1
User_62,-0.55,Zone_2
User_63,2.61,Zone_3
User_64,23.83,Zone_4
User_65,18.91,Zone_0
User_66,19.26,Zone_1
User_67,31.56,Zone_2
User_68,18.72,Zone_3
User_69,2.05,Zone_4
User_70,20.34,Zone_0
User_71,18.19,Zone_1
User_72,20.84,Zone_2
User_73,20.23,Zone_3
User_74,10.67,Zone_4
User_75,10.42,Zone_0
User_76,21.82,Zone_1
User_77,14.14,Zone_2
User_78,19.93,Zone_3
User_79,-2.82,Zone_4
User_80,16.92,Zone_0
User_81,-4.37,Zone_1
User_82,0.18,Zone_2
User_83,20.19,Zone_3
User_84,9.91,Zone_4
User_85,8.57,Zone_0
User_86,10.89,Zone_1
User_87,14.74,Zone_2
User_88,10.17,Zone_3
User_89,7.11,Zone_4
User_90,18.79,Zone_0
User_91,16.36,Zone_1
User_92,16.02,Zone_2
User_93,16.12,Zone_3
User_94,11.42,Zone_4
User_95,6.09,Zone_0
User_96,11.58,Zone_1
User_97,13.04,Zone_2
User_98,5.90,Zone_3
User_99,14.68,Zone_4
User_0,71.07,Zone_0
User_1,12.06,Zone_1
User_2,12.83,Zone_2
User_3,15.71,Zone_3
User_4,12.64,Zone_4
User_5,25.78,Zone_0
User_6,14.44,Zone_1
User_7,8.84,Zone_2
User_8,18.75,Zone_3
User_9,7.58,Zone_4
User_10,20.01,Zone_0
User_11,12.31,Zone_1
User_12,20.80,Zone_2
User_13,23.85,Zone_3
User_14,14.68,Zone_4
User_15,18.34,Zone_0
User_16,8.65,Zone_1
User_17,25.62,Zone_2
User_18,19.87,Zone_3
User_19,19.30,Zone_4
User_20,33.14,Zone_0
User_21,15.53,Zone_1
User_22,9.93,Zone_2
User_23,21.40,Zone_3
User_24,9.70,Zone_4
User_25,20.20,Zone_0
User_26,27.13,Zone_1
User_27,22.38,Zone_2
User_28,20.14,Zone_3
User_29,12.24,Zone_4
User_30,9.20,Zone_0
User_31,12.18,Zone_1
User_32,29.63,Zone_2
User_33,18.45,Zone_3
User_34,9.22,Zone_4
User_35,9.29,Zone_0
User_36,11.20,Zone_1
User_37,19.36,Zone_2
User_38,20.06,Zone_3
User_39,7.96,Zone_4
User_40,29.69,Zone_0
User_41,8.71,Zone_1
User_42,12.71,Zone_2
User_43,9.19,Zone_3
User_44,19.45,Zone_4
User_45,4.41,Zone_0
User_46,7.60,Zone_1
User_47,16.83,Zone_2
User_48,18.19,Zone_3
User_49,4.40,Zone_4
User_50,9.78,Zone_0
User_51,23.50,Zone_1
User_52,23.14,Zone_2
User_53,5.22,Zone_3
User_54,13.21,Zone_4
User_55,30.80,Zone_0
User_56,24.76,Zone_1
User_57,17.33,Zone_2
User_58,24.33,Zone_3
User_59,-1.66,Zone_4
User_60,18.83,Zone_0
User_61,25.25,Zone_1
User_62,15.15,Zone_2
User_63,28.18,Zone_3
User_64,12.74,Zone_4
User_65,1.69,Zone_0
User_66,26.30,Zone_1
User_67,28.92,Zone_2
User_68,11.67,Zone_3
User_69,26.07,Zone_4
User_70,4.46,Zone_0
User_71,4.62,Zone_1
User_72,4.38,Zone_2
User_73,25.58,Zone_3
User_74,9.76,Zone_4
User_75,20.97,Zone_0
User_76,10.92,Zone_1
User_77,28.85,Zone_2
User_78,9.97,Zone_3
User_79,19.44,Zone_4
User_80,9.27,Zone_0
User_81,6.99,Zone_1
User_82,-1.07,Zone_2
User_83,17.82,Zone_3
User_84,9.58,Zone_4
User_85,17.35,Zone_0
User_86,27.26,Zone_1
User_87,18.74,Zone_2
User_88,2.75,Zone_3
User_89,23.57,Zone_4
User_90,23.32,Zone_0
User_91,27.83,Zone_1
User_92,3.41,Zone_2
User_93,8.43,Zone_3
User_94,4.34,Zone_4
User_95,12.16,Zone_0
User_96,3.61,Zone_1
User_97,17.19,Zone_2
User_98,20.26,Zone_3
User_99,3.96,Zone_4
User_0,62.72,Zone_0
User_1,12.18,Zone_1
User_2,14.45,Zone_2
User_3,15.24,Zone_3
User_4,11.28,Zone_4
User_5,32.49,Zone_0
User_6,11.98,Zone_1
User_7,3.87,Zone_2
User_8,12.16,Zone_3
User_9,13.49,Zone_4
User_10,10.15,Zone_0
User_11,-3.71,Zone_1
User_12,10.90,Zone_2
User_13,29.21,Zone_3
User_14,13.89,Zone_4
User_15,24.74,Zone_0
User_16,32.93,Zone_1
User_17,-1.19,Zone_2
User_18,17.04,Zone_3
User_19,15.25,Zone_4
User_20,19.90,Zone_0
User_21,26.77,Zone_1
User_22,11.73,Zone_2
User_23,10.23,Zone_3
User_24,17.08,Zone_4
User_25,27.13,Zone_0
User_26,13.28,Zone_1
User_27,21.15,Zone_2
User_28,11.12,Zone_3
User_29,16.88,Zone_4
User_30,3.68,Zone_0
User_31,13.80,Zone_1
User_32,13.40,Zone_2
User_33,12.19,Zone_3
User_34,20.51,Zone_4
User_35,14.97,Zone_0
User_36,24.97,Zone_1
User_37,-0.07,Zone_2
User_38,15.11,Zone_3
User_39,17.23,Zone_4
User_40,11.57,Zone_0
User_41,18.73,Zone_1
User_42,21.84,Zone_2
User_43,10.99,Zone_3
User_44,9.44,Zone_4
User_45,16.71,Zone_0
User_46,15.04,Zone_1
User_47,8.02,Zone_2
User_48,6.11,Zone_3
User_49,13.80,Zone_4
User_50,29.19,Zone_0
User_51,22.03,Zone_1
User_52,22.91,Zone_2
User_53,20.14,Zone_3
User_54,3.10,Zone_4
User_55,12.46,Zone_0
User_56,19.50,Zone_1
User_57,11.87,Zone_2
User_58,12.77,Zone_3
User_59,24.19,Zone_4
User_60,9.32,Zone_0
User_61,3.73,Zone_1
User_62,11.33,Zone_2
User_63,13.42,Zone_3
User_64,27.85,Zone_4
User_65,15.53,Zone_0
User_66,12.46,Zone_1
User_67,15.26,Zone_2
User_68,22.86,Zone_3
User_69,29.06,Zone_4
User_70,25.87,Zone_0
User_71,7.92,Zone_1
User_72,19.50,Zone_2
User_73,24.60,Zone_3
User_74,18.18,Zone_4
User_75,19.20,Zone_0
User_76,5.70,Zone_1
User_77,14.62,Zone_2
User_78,17.94,Zone_3
User_79,16.77,Zone_4
User_80,37.97,Zone_0
User_81,12.27,Zone_1
User_82,1.09,Zone_2
User_83,12.53,Zone_3
User_84,16.97,Zone_4
User_85,4.91,Zone_0
User_86,18.64,Zone_1
User_87,21.82,Zone_2
User_88,8.08,Zone_3
User_89,10.96,Zone_4
User_90,8.92,Zone_0
User_91,4.34,Zone_1
User_92,3.47,Zone_2
User_93,10.08,Zone_3
User_94,24.02,Zone_4
User_95,19.92,Zone_0
User_96,14.66,Zone_1
User_97,9.86,Zone_2
User_98,14.71,Zone_3
User_99,12.79,Zone_4
User_0,67.46,Zone_0
User_1,13.07,Zone_1
User_2,31.92,Zone_2
User_3,13.48,Zone_3
User_4,12.32,Zone_4
User_5,22.03,Zone_0
User_6,21.51,Zone_1
User_7,13.08,Zone_2
User_8,-5.87,Zone_3
User_9,15.13,Zone_4
User_10,18.73,Zone_0
User_11,20.43,Zone_1
User_12,16.98,Zone_2
User_13,12.23,Zone_3
User_14,15.82,Zone_4
User_15,27.02,Zone_0
User_16,23.22,Zone_1
User_17,12.54,Zone_2
User_18,10.24,Zone_3
User_19,22.48,Zone_4
User_20,20.12,Zone_0
User_21,22.16,Zone_1
User_22,24.55,Zone_2
User_23,14.76,Zone_3
User_24,20.06,Zone_4
User_25,11.09,Zone_0
User_26,15.31,Zone_1
User_27,10.46,Zone_2
User_28,31.84,Zone_3
User_29,19.73,Zone_4
User_30,0.43,Zone_0
User_31,11.06,Zone_1
User_32,12.60,Zone_2
User_33,11.79,Zone_3
User_34,16.29,Zone_4
User_35,7.77,Zone_0
User_36,-0.84,Zone_1
User_37,9.57,Zone_2
User_38,18.60,Zone_3
User_39,17.05,Zone_4
User_40,2.08,Zone_0
User_41,22.25,Zone_1
User_42,25.95,Zone_2
User_43,27.02,Zone_3
User_44,16.69,Zone_4
User_45,7.08,Zone_0
User_46,14.30,Zone_1
User_47,-0.26,Zone_2
User_48,8.28,Zone_3
User_49,15.52,Zone_4
User_50,9.14,Zone_0
User_51,22.58,Zone_1
User_52,21.29,Zone_2
User_53,21.88,Zone_3
User_54,6.47,Zone_4
User_55,13.62,Zone_0
User_56,21.12,Zone_1
User_57,12.62,Zone_2
User_58,7.16,Zone_3
User_59,26.33,Zone_4
User_60,12.16,Zone_0
User_61,15.08,Zone_1
User_62,16.23,Zone_2
User_63,21.31,Zone_3
User_64,13.34,Zone_4
User_65,29.49,Zone_0
User_66,7.89,Zone_1
User_67,17.69,Zone_2
User_68,20.08,Zone_3
User_69,28.70,Zone_4
User_70,3.32,Zone_0
User_71,29.26,Zone_1
User_72,18.33,Zone_2
User_73,24.38,Zone_3
User_74,18.08,Zone_4
User_75,24.19,Zone_0
User_76,15.89,Zone_1
User_77,15.36,Zone_2
User_78,26.11,Zone_3
User_79,30.93,Zone_4
User_80,22.25,Zone_0
User_81,30.31,Zone_1
User_82,19.76,Zone_2
User_83,5.51,Zone_3
User_84,15.20,Zone_4
User_85,33.86,Zone_0
User_86,18.32,Zone_1
User_87,13.52,Zone_2
User_88,10.43,Zone_3
User_89,14.51,Zone_4
User_90,29.92,Zone_0
User_91,7.67,Zone_1
User_92,10.89,Zone_2
User_93,15.84,Zone_3
User_94,9.55,Zone_4
User_95,16.71,Zone_0
User_96,21.95,Zone_1
User_97,18.96,Zone_2
User_98,11.87,Zone_3
User_99,22.39,Zone_4
User_0,63.96,Zone_0
User_1,-2.03,Zone_1
User_2,0.79,Zone_2
User_3,19.04,Zone_3
User_4,22.79,Zone_4
User_5,5.37,Zone_0
User_6,13.26,Zone_1
User_7,9.21,Zone_2
User_8,8.89,Zone_3
User_9,8.29,Zone_4
User_10,22.61,Zone_0
User_11,11.23,Zone_1
User_12,20.75,Zone_2
User_13,13.62,Zone_3
User_14,7.16,Zone_4
User_15,17.70,Zone_0
User_16,18.63,Zone_1
User_17,17.25,Zone_2
User_18,23.57,Zone_3
User_19,12.85,Zone_4
User_20,20.72,Zone_0
User_21,18.36,Zone_1
User_22,7.28,Zone_2
User_23,26.87,Zone_3
User_24,2.23,Zone_4
User_25,3.43,Zone_0
User_26,31.42,Zone_1
User_27,8.66,Zone_2
User_28,32.82,Zone_3
User_29,15.17,Zone_4
User_30,8.43,Zone_0
User_31,17.42,Zone_1
User_32,12.51,Zone_2
User_33,18.16,Zone_3
User_34,-2.02,Zone_4
User_35,26.00,Zone_0
User_36,8.62,Zone_1
User_37,7.09,Zone_2
User_38,18.76,Zone_3
User_39,22.44,Zone_4
User_40,-0.61,Zone_0
User_41,15.96,Zone_1
User_42,35.84,Zone_2
User_43,25.62,Zone_3
User_44,4.98,Zone_4
User_45,11.92,Zone_0
User_46,22.44,Zone_1
User_47,2.25,Zone_2
User_48,0.91,Zone_3
User_49,20.83,Zone_4
User_50,23.45,Zone_0
User_51,21.43,Zone_1
User_52,19.37,Zone_2
User_53,18.07,Zone_3
User_54,3.74,Zone_4
User_55,22.96,Zone_0
User_56,18.98,Zone_1
User_57,5.09,Zone_2
User_58,18.64,Zone_3
User_59,10.46,Zone_4
User_60,6.77,Zone_0
User_61,15.41,Zone_1
User_62,9.44,Zone_2
User_63,3.01,Zone_3
User_64,6.22,Zone_4
User_65,20.41,Zone_0
User_66,8.04,Zone_1
User_67,5.31,Zone_2
User_68,12.89,Zone_3
User_69,24.53,Zone_4
User_70,6.69,Zone_0
User_71,18.90,Zone_1
User_72,11.13,Zone_2
User_73,19.01,Zone_3
User_74,12.74,Zone_4
User_75,11.89,Zone_0
User_76,24.19,Zone_1
User_77,22.65,Zone_2
User_78,16.30,Zone_3
User_79,11.68,Zone_4
User_80,18.98,Zone_0
User_81,11.19,Zone_1
User_82,23.55,Zone_2
User_83,11.14,Zone_3
User_84,8.17,Zone_4
User_85,27.55,Zone_0
User_86,10.50,Zone_1
User_87,9.26,Zone_2
User_88,8.24,Zone_3
User_89,9.29,Zone_4
User_90,27.31,Zone_0
User_91,22.38,Zone_1
User_92,20.43,Zone_2
User_93,24.73,Zone_3
User_94,17.63,Zone_4
User_95,20.83,Zone_0
User_96,8.75,Zone_1
User_97,19.56,Zone_2
User_98,19.79,Zone_3
User_99,25.70,Zone_4
User_0,49.92,Zone_0
User_1,10.40,Zone_1
User_2,16.42,Zone_2
User_3,10.67,Zone_3
User_4,13.66,Zone_4
User_5,11.76,Zone_0
User_6,10.20,Zone_1
User_7,26.15,Zone_2
User_8,-2.12,Zone_3
User_9,25.21,Zone_4
User_10,27.72,Zone_0
User_11,5.91,Zone_1
User_12,27.92,Zone_2
User_13,13.38,Zone_3
User_14,13.54,Zone_4
User_15,11.98,Zone_0
User_16,10.45,Zone_1
User_17,11.29,Zone_2
User_18,4.61,Zone_3
User_19,6.88,Zone_4
User_20,11.60,Zone_0
User_21,18.61,Zone_1
User_22,20.89,Zone_2
User_23,17.35,Zone_3
User_24,26.48,Zone_4
User_25,27.89,Zone_0
User_26,8.14,Zone_1
User_27,13.40,Zone_2
User_28,10.82,Zone_3
User_29,13.61,Zone_4
User_30,3.84,Zone_0
User_31,21.06,Zone_1
User_32,-1.15,Zone_2
User_33,10.97,Zone_3
User_34,12.71,Zone_4
User_35,1.60,Zone_0
User_36,15.18,Zone_1
User_37,14.36,Zone_2
User_38,28.20,Zone_3
User_39,24.74,Zone_4
User_40,11.44,Zone_0
User_41,22.24,Zone_1
User_42,8.59,Zone_2
User_43,10.31,Zone_3
User_44,32.58,Zone_4
User_45,15.36,Zone_0
User_46,8.40,Zone_1
User_47,23.83,Zone_2
User_48,12.42,Zone_3
User_49,9.03,Zone_4
User_50,-0.62,Zone_0
User_51,18.56,Zone_1
User_52,12.07,Zone_2
User_53,11.87,Zone_3
User_54,25.18,Zone_4
User_55,7.84,Zone_0
User_56,13.84,Zone_1
User_57,4.78,Zone_2
User_58,22.05,Zone_3
User_59,21.80,Zone_4
User_60,20.16,Zone_0
User_61,16.15,Zone_1
User_62,16.18,Zone_2
User_63,3.45,Zone_3
User_64,7.16,Zone_4
User_65,20.69,Zone_0
User_66,4.07,Zone_1
User_67,33.90,Zone_2
User_68,22.76,Zone_3
User_69,12.25,Zone_4
User_70,13.96,Zone_0
User_71,17.21,Zone_1
User_72,20.43,Zone_2
User_73,16.67,Zone_3
User_74,10.14,Zone_4
User_75,9.20,Zone_0
User_76,8.85,Zone_1
User_77,7.22,Zone_2
User_78,14.58,Zone_3
User_79,14.58,Zone_4
User_80,15.87,Zone_0
User_81,13.50,Zone_1
User_82,7.92,Zone_2
User_83,14.24,Zone_3
User_84,8.57,Zone_4
User_85,24.48,Zone_0
User_86,33.88,Zone_1
User_87,27.03,Zone_2
User_88,19.36,Zone_3
User_89,14.73,Zone_4
User_90,-0.73,Zone_0
User_91,1.95,Zone_1
User_92,26.28,Zone_2
User_93,10.97,Zone_3
User_94,33.47,Zone_4
User_95,13.34,Zone_0
User_96,21.12,Zone_1
User_97,13.97,Zone_2
User_98,7.50,Zone_3
User_99,14.05,Zone_4
User_0,61.19,Zone_0
User_1,34.67,Zone_1
User_2,10.37,Zone_2
User_3,21.55,Zone_3
User_4,20.26,Zone_4
User_5,32.51,Zone_0
User_6,5.26,Zone_1
User_7,12.48,Zone_2
User_8,26.81,Zone_3
User_9,14.39,Zone_4
User_10,8.10,Zone_0
User_11,16.91,Zone_1
User_12,20.62,Zone_2
User_13,19.31,Zone_3
User_14,36.11,Zone_4
User_15,22.53,Zone_0
User_16,6.95,Zone_1
User_17,15.25,Zone_2
User_18,15.98,Zone_3
User_19,6.78,Zone_4
User_20,24.00,Zone_0
User_21,15.14,Zone_1
User_22,16.38,Zone_2
User_23,21.76,Zone_3
User_24,9.96,Zone_4
User_25,25.95,Zone_0
User_26,-5.82,Zone_1
User_27,22.96,Zone_2
User_28,1.45,Zone_3
User_29,21.85,Zone_4
User_30,20.08,Zone_0
User_31,14.52,Zone_1
User_32,3.30,Zone_2
User_33,14.64,Zone_3
User_34,23.31,Zone_4
User_35,17.14,Zone_0
User_36,-7.76,Zone_1
User_37,16.71,Zone_2
User_38,5.41,Zone_3
User_39,4.21,Zone_4
User_40,18.59,Zone_0
User_41,25.52,Zone_1
User_42,13.54,Zone_2
User_43,24.35,Zone_3
User_44,10.99,Zone_4
User_45,17.67,Zone_0
User_46,5.47,Zone_1
User_47,19.62,Zone_2
User_48,19.17,Zone_3
User_49,8.40,Zone_4
User_50,-3.81,Zone_0
User_51,18.67,Zone_1
User_52,14.88,Zone_2
User_53,23.39,Zone_3
User_54,2.91,Zone_4
User_55,6.06,Zone_0
User_56,18.66,Zone_1
User_57,10.36,Zone_2
User_58,21.70,Zone_3
User_59,8.37,Zone_4
User_60,11.43,Zone_0
User_61,34.80,Zone_1
User_62,22.50,Zone_2
User_63,25.61,Zone_3
User_64,19.11,Zone_4
User_65,28.11,Zone_0
User_66,18.68,Zone_1
User_67,1.92,Zone_2
User_68,14.68,Zone_3
User_69,18.49,Zone_4
User_70,27.13,Zone_0
User_71,11.98,Zone_1
User_72,-6.31,Zone_2
User_73,0.56,Zone_3
User_74,25.21,Zone_4
User_75,29.04,Zone_0
User_76,11.36,Zone_1
User_77,20.78,Zone_2
User_78,28.81,Zone_3
User_79,20.80,Zone_4
User_80,19.55,Zone_0
User_81,7.20,Zone_1
User_82,20.16,Zone_2
User_83,10.08,Zone_3
User_84,1.17,Zone_4
User_85,9.46,Zone_0
User_86,13.79,Zone_1
User_87,18.78,Zone_2
User_88,9.21,Zone_3
User_89,21.58,Zone_4
User_90,26.79,Zone_0
User_91,14.67,Zone_1
User_92,13.76,Zone_2
User_93,25.79,Zone_3
User_94,20.59,Zone_4
User_95,2.68,Zone_0
